Question,Option 1,Option 2,Option 3,Option 4,Answer,Hint,Know More,Link,YouTube,Image,Type,Concept/Subtopic,Worksheet No,Difficulty
What fraction is shown in the image? (1),4/9,2/6,4/6,5/8,4/9,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_0.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (2),2/4,4/9,1/2,3/4,3/4,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_1.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (3),2/4,4/7,3/6,3/4,3/4,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_2.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (4),1/4,2/3,1/8,4/8,2/3,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_3.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (5),5/7,3/4,6/8,1/2,1/2,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_4.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (6),1/8,1/4,1/2,2/4,1/2,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_5.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (7),1/3,4/5,3/7,1/6,1/6,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_6.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (8),1/3,4/6,4/5,5/7,4/6,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_7.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (9),1/4,4/7,3/6,2/3,2/3,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_8.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (10),1/6,1/3,3/5,4/6,1/6,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_9.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (11),2/7,3/4,1/9,1/2,1/9,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_10.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (12),5/6,3/7,3/5,1/4,5/6,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_11.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (13),1/4,4/6,2/3,5/8,5/8,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_12.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (14),4/5,3/5,2/4,1/3,2/4,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_13.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (15),1/6,4/6,5/7,1/8,5/7,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_14.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (16),4/5,2/8,3/6,2/3,2/8,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_15.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (17),5/9,4/5,2/6,1/2,4/5,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_16.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (18),1/3,8/9,4/5,1/4,8/9,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_17.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (19),4/7,2/8,2/3,2/5,2/8,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_18.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (20),3/7,4/7,1/3,5/6,4/7,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_19.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (21),4/6,2/8,5/8,2/3,2/8,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_20.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (22),4/8,1/5,3/6,2/3,1/5,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_21.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (23),1/2,1/4,2/5,5/6,1/4,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_22.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (24),3/6,4/6,2/7,1/6,1/6,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_23.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (25),3/6,1/4,7/9,1/3,1/4,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_24.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (26),1/8,1/2,1/6,3/8,1/8,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_25.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (27),1/9,4/6,2/8,1/5,1/9,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_26.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (28),1/4,1/2,2/6,4/7,4/7,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_27.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (29),2/6,6/7,3/7,1/3,3/7,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_28.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (30),2/8,4/8,5/9,3/5,2/8,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_29.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (31),2/6,7/8,1/2,3/5,1/2,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_30.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (32),5/9,4/5,2/8,1/2,5/9,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_31.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (33),4/5,1/7,2/3,1/9,2/3,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_32.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (34),6/9,5/6,1/2,1/6,1/2,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_33.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (35),3/5,1/2,6/8,1/3,1/2,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_34.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (36),3/4,1/5,4/7,5/6,5/6,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_35.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (37),2/8,2/3,1/5,1/4,2/8,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_36.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (38),1/2,1/8,2/6,2/3,2/3,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_37.svg,MCQ,Fractions,7,Medium
What fraction is shown in the image? (39),1/2,1/4,2/3,2/6,2/3,Count the green shaded parts (numerator) and the total parts (denominator).,The top number (numerator) counts the shaded parts. The bottom number (denominator) counts all parts.,,,Worksheet 7 - Fractions/fraction_38.svg,MCQ,Fractions,7,Medium
